"","rank","namePlayer","position_abbreviation","team_abbreviation","TOTAL_100"
"200",200,"Jordan Goodwin","G","LAL",59.9237454483503
"201",201,"Moses Moody","SG","GS",59.9034344762338
"202",202,"Nickeil Alexander-Walker","SG","MIN",59.8373336904002
"203",203,"Tristan Vukcevic","PF","WSH",59.7804429710548
"204",204,"Deandre Ayton","C","POR",59.6668360300848
"205",205,"Buddy Hield","SG","GS",59.6187419710225
"206",206,"Jaime Jaquez Jr.","G","MIA",59.6104919924077
"207",207,"Precious Achiuwa","PF","NY",59.5734606743711
"208",208,"Spencer Dinwiddie","PG","DAL",59.5690550146781
"209",209,"Royce O'Neale","PF","PHX",59.4017807401805
"210",210,"Ayo Dosunmu","SG","CHI",59.3985983022918
"211",211,"Kentavious Caldwell-Pope","SG","ORL",59.3922112019353
"212",212,"Neemias Queta","C","BOS",58.8998222987463
"213",213,"Jordan Poole","SG","WSH",58.7205590853786
"214",214,"Cam Whitmore","F","HOU",58.5572104521091
"215",215,"Peyton Watson","F","DEN",58.556533805821
"216",216,"Keegan Murray","SF","SAC",58.3626474250554
"217",217,"Dennis Schroder","PG","DET",58.2257010927787
"218",218,"Jarace Walker","F","IND",58.1891936684113
"219",219,"Keldon Johnson","SF","SA",58.1844195231204
"220",220,"Anfernee Simons","SG","POR",58.0756219842537
"221",221,"Isaac Okoro","SF","CLE",57.7840715207621
"222",222,"Jonathan Kuminga","PF","GS",57.6697864698535
"223",223,"Ochai Agbaji","G","TOR",57.4757419551758
"224",224,"Gui Santos","F","GS",57.1543217461295
"225",225,"Haywood Highsmith","F","MIA",57.1186632249275
"226",226,"Steven Adams","C","HOU",57.0160327981831
"227",227,"Julian Champagnie","F","SA",56.8150189203327
"228",228,"Kyle Filipowski","F","UTAH",56.6073522042834
"229",229,"CJ McCollum","SG","NO",56.5307183803971
"230",230,"Nick Richards","C","PHX",56.3858613759048
"231",231,"Cole Anthony","PG","ORL",56.3674010148696
"232",232,"Ajay Mitchell","G","OKC",56.1030924272504
"233",233,"Kelly Oubre Jr.","SG","PHI",55.9284123005681
"234",234,"Collin Sexton","G","UTAH",55.8123227782208
"235",235,"Keaton Wallace","G","ATL",55.7370432816627
"236",236,"Delon Wright","G","NY",55.6941131304689
"237",237,"Gary Trent Jr.","SG","MIL",55.6656815931946
"238",238,"Quinten Post","C","GS",55.4772393963436
"239",239,"Kessler Edwards","F","DAL",55.4030508782379
"240",240,"Anthony Black","G","ORL",55.3316213463694
"241",241,"Shaedon Sharpe","SG","POR",55.2106553815251
"242",242,"Stephon Castle","G","SA",55.1911636781224
"243",243,"Wendell Carter Jr.","C","ORL",55.063708807569
"244",244,"Scoot Henderson","G","POR",55.0400752044806
"245",245,"Orlando Robinson","C","TOR",54.5260938097814
"246",246,"Andre Drummond","C","PHI",54.1961059109112
"247",247,"Brandon Ingram","SF","NO",54.107758161273
"248",248,"Herbert Jones","SF","NO",54.1014731207216
"249",249,"Jae'Sean Tate","SF","HOU",54.0708379925431
"250",250,"Matas Buzelis","F","CHI",54.0335684471837
"251",251,"Jaden Ivey","PG","DET",53.7710325715737
"252",252,"Duncan Robinson","F","MIA",53.3765707292264
"253",253,"Jalen Pickett","G","DEN",53.3759945777933
"254",254,"Taurean Prince","PF","MIL",53.3146154041197
"255",255,"Blake Wesley","G","SA",53.2576961796573
"256",256,"Bogdan Bogdanovic","SG","LAC",52.9641153860646
"257",257,"Jabari Smith Jr.","PF","HOU",52.8725523115273
"258",258,"Klay Thompson","SG","DAL",52.6277483474618
"259",259,"Lauri Markkanen","PF","UTAH",52.5765920351572
"260",260,"Georges Niang","SF","ATL",52.3299993866384
"261",261,"Olivier-Maxence Prosper","F","DAL",52.2924980347223
"262",262,"Bennedict Mathurin","SG","IND",52.232756190672
"263",263,"Malcolm Brogdon","G","WSH",52.2065118199488
"264",264,"Aaron Holiday","G","HOU",52.0826024960552
"265",265,"Julian Phillips","F","CHI",51.9929489940855
"266",266,"Max Christie","G","DAL",51.9219737736926
"267",267,"Jeremiah Robinson-Earl","F","NO",51.6266628367322
"268",268,"Kyle Lowry","PG","PHI",51.5395395487942
"269",269,"Dalton Knecht","G","LAL",51.3812978607268
"270",270,"Pat Connaughton","SG","MIL",51.2121565437336
"271",271,"Eric Gordon","SG","PHI",51.1016937754219
"272",272,"Cam Thomas","SG","BKN",51.0928994597496
"273",273,"Jared McCain","G","PHI",51.0611202097483
"274",274,"Jordan Clarkson","G","UTAH",50.9719613823702
"275",275,"Zaccharie Risacher","PF","ATL",50.70250799859
"276",276,"Jonathan Mogbo","F","TOR",50.6460004962371
"277",277,"Jaylen Wells","F","MEM",50.6353644203251
"278",278,"Jamal Cain","F","NO",50.6286757511948
"279",279,"Ben Sheppard","G","IND",50.571130744093
"280",280,"Seth Curry","SG","CHA",50.5524130252347
"281",281,"Brandon Miller","F","CHA",50.32921639207
"282",282,"Landry Shamet","PG","NY",49.8965038829617
"283",283,"Brice Sensabaugh","F","UTAH",49.8737662998195
"284",284,"Dillon Brooks","SF","HOU",49.6731219853474
"285",285,"Pelle Larsson","G","MIA",49.4736201366611
"286",286,"Bruce Brown","SF","NO",49.125968905982
"287",287,"Amir Coffey","F","LAC",49.1020742784685
"288",288,"Caleb Martin","SF","DAL",49.0810381436217
"289",289,"Ziaire Williams","F","BKN",49.075470710263
"290",290,"Ronald Holland II","F","DET",48.9071299579333
"291",291,"Justin Edwards","F","PHI",48.8320670333856
"292",292,"Ryan Dunn","F","PHX",48.5619108324742
"293",293,"Reed Sheppard","G","HOU",48.5532364317351
"294",294,"Jamal Shead","G","TOR",48.486545148031
"295",295,"Jericho Sims","C","MIL",48.4839344167832
"296",296,"AJ Green","G","MIL",48.4770888300074
"297",297,"Trendon Watford","PF","BKN",48.2785999284941
"298",298,"Alex Sarr","PF","WSH",47.974592312601
"299",299,"Rob Dillingham","G","MIN",47.972976265854
"300",300,"Caleb Houstan","G","ORL",47.9028754711166
"301",301,"Garrison Mathews","G","ATL",47.8754020195541
"302",302,"Dalen Terry","F","CHI",47.575123547349
"303",303,"Antonio Reeves","G","NO",47.487914167774
"304",304,"Bismack Biyombo","F","SA",47.4557163449944
"305",305,"Tosan Evbuomwan","F","BKN",47.3729911196249
"306",306,"Keyonte George","G","UTAH",47.2671713470496
"307",307,"Lindy Waters III","F","DET",47.253783900131
"308",308,"Tim Hardaway Jr.","SF","DET",47.0334832692849
"309",309,"Isaiah Collier","G","UTAH",46.9548307499557
"310",310,"Ja'Kobe Walter","G","TOR",46.9360427191264
"311",311,"Yves Missi","C","NO",46.916704914327
"312",312,"Johnny Juzang","G","UTAH",46.6380360394277
"313",313,"Oso Ighodaro","C","PHX",46.4960678225119
"314",314,"Micah Potter","C","UTAH",46.0753157350091
"315",315,"Bilal Coulibaly","SG","WSH",45.3146071546323
"316",316,"Corey Kispert","SF","WSH",45.2897499437076
"317",317,"Gabe Vincent","PG","LAL",45.0053247625238
"318",318,"Kris Murray","F","POR",44.9242855353996
"319",319,"Terry Rozier","SG","MIA",44.858552069955
"320",320,"Andre Jackson Jr.","G","MIL",44.6566129054599
"321",321,"Tyrese Martin","G","BKN",44.4656212688977
"322",322,"Simone Fontecchio","F","DET",44.2731692283416
"323",323,"Julian Strawther","G","DEN",44.1902972624336
"324",324,"Gary Harris","SG","ORL",44.015955635518
"325",325,"Patrick Williams","PF","CHI",44.0102470592962
"326",326,"Jamison Battle","F","TOR",43.875603763361
"327",327,"Jerami Grant","SF","POR",43.6007410006166
"328",328,"Gradey Dick","G","TOR",43.560533489913
